product_id,product_name,barcode,old_image_url,new_image_url,source,score,status
1464,تايجر20ج,6222035252450,https://www.qebox.app/qebox/wp-content/uploads/2025/04/InShot_20250419_195850786-scaled.jpg,,,0,not_resolved
1542,بسكويت ساده بيج فيري,6224007235096,,https://m.media-amazon.com/images/I/417nUFeewqL._AC_.jpg,DDGS-Image-Search,90,resolved
1544,بسكويت ساده اونيرو,6223000556351,,,,0,not_resolved
1555,برسيل جل 1لتر لافندر عادي,6221143099773,,https://images-na.ssl-images-amazon.com/images/I/61sCrpUA-+S._AC_SL500_.jpg,DDGS-Image-Search,90,resolved
1566,لبن بقري 0.5 ك,022,,https://al-hafeed.com/wp-content/uploads/2024/09/لبن-بقري-طازج-0.5-لتر-الحفيد-23.png,DDGS-Image-Search,40,resolved
1636,برجر لحم اطياب 8ق,6224007330258,,https://images.openfoodfacts.org/images/products/622/400/733/0258/front_en.3.400.jpg,OpenFoodFacts-Barcode,97,resolved
1576,عيش فينو,05,,https://www.cairo24.com/Upload/libfiles/102/8/941.jpg,DDGS-Image-Search,40,resolved
1580,منتج,09,,https://mostaql.hsoubcdn.com/uploads/portfolios/3259264/66901fceb21a8/3.jpg,DDGS-Image-Search,40,resolved
1639,برجرحلواني 8ق,6221029000152,,https://images.openfoodfacts.org/images/products/622/102/900/0152/front_en.5.400.jpg,OpenFoodFacts-Barcode,97,resolved
1593,كرواسون برنش بسطرمه,6223003191283,,https://www.pdffiller.com/preview/572/410/572410741/large.png,DDGS-Image-Search,40,resolved
1565,لبن جاموسي 0.5 ك,011,https://www.qebox.app/qebox/wp-content/uploads/2025/09/%D8%A8%D9%84%D8%A8%D9%82-0%D9%A1.png,https://static0.colliderimages.com/wordpress/wp-content/uploads/sharedimages/2026/04/hacks-tv-show-season-5-poster.jpg?q=70&fit=contain&w=320&dpr=1,DDGS-Image-Search,40,resolved
1674,منتج 1,010,,https://www.ostegy.com/Front/assets/img/product/pro5.jpg,DDGS-Image-Search,40,resolved
1663,ظرف بنجورنو بندق,6221007038290,,https://mcprod.hyperone.com.eg/media/catalog/product/cache/1ca275941aea0ae98b372dcb44b7c67a/6/2/6221007038306-.png,DDGS-Image-Search,95,resolved
1616,زبادي قشطه بلبن,6224010574458,https://www.qebox.app/qebox/wp-content/uploads/2024/12/%D8%A8%D9%84%D8%A8%D9%86-%D8%B2%D8%A8%D8%A7%D8%AF%D9%8A.png,,,0,not_resolved
1700,جلاكسي سكيتلز فواكه,5000159376655,,https://images-na.ssl-images-amazon.com/images/I/41bhie8hgaL._SL500_._AC_SL500_.jpg,DDGS-Image-Search,90,resolved
1694,شوكو بيلو 25جم,6221012003719,,https://cdnprod.mafretailproxy.com/sys-master-root/hc7/h9f/48744231141406/480Wx480H_383486_main.jpg,DDGS-Image-Search,95,resolved
1035,عصير بخيره225مل-كوكتيل,6222014300820,https://mcprod.hyperone.com.eg/media/catalog/product/cache/1ca275941aea0ae98b372dcb44b7c67a/6/2/6222014300820-225ml.jpg,https://cdn.mafrservices.com/sys-master-root/h83/h56/14539576049694/507780_main.jpg?im=Resize=480,DDGS-Image-Search,95,resolved
1703,كاندي ماجيكال اسنان,6224008528890,,"https://d1e4pidl3fu268.cloudfront.net/d7856db9-e5d5-4250-b993-04e1fa7de8c6/TCcymraeg.crop_823x616_0,4.preview.png",DDGS-Image-Search,40,resolved
1710,كاندي تو جو فراوله,6223004963506,,,,0,not_resolved
1711,كاندي تو جو خوخ,6223004963414,,https://mcprod.hyperone.com.eg/media/catalog/product/cache/1ca275941aea0ae98b372dcb44b7c67a/6/2/6224007537886._460ml.png,DDGS-Image-Search,95,resolved
1731,تمر الطحان 700جم,6224000682842,,https://static0.colliderimages.com/wordpress/wp-content/uploads/sharedimages/2026/04/hacks-tv-show-season-5-poster.jpg?q=70&fit=contain&w=320&dpr=1,DDGS-Image-Search,40,resolved
1701,كاندي اصلي 150جم فواكه,6223004960864,https://images.yaoota.com/3A7W28QWIVrAS81X8gvUsGtGW5Y%3D/trim/fit-in/500x500/filters%3Aquality%2880%29/yaootaweb-production/media/crawledproductimages/e41fa438f161f7756a0d48b9497ebbf0906bf0fc.jpg,https://images.deliveryhero.io/image/darkstores-qatar/Products/QR_903076.jpg,DDGS-Image-Search,40,resolved
1719,عيش بلدي ريتش بيك,6223000434048,,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223000434048.jpg,DDGS-Image-Search,95,resolved
